id,vehicle_id,trip_id,vendor_id,quantity_liters,price_per_liter,total_cost,date
fuel_1,vehicle_67,trip_1,vendor_fuel_20,115.57,86.32,9975.57,2025-01-02T00:21:00
fuel_2,vehicle_67,trip_1,vendor_fuel_24,121.28,87.27,10584.26,2025-01-02T04:21:00
fuel_3,vehicle_67,trip_1,vendor_fuel_23,121.05,85.47,10346.93,2025-01-02T04:21:00
fuel_4,vehicle_57,trip_2,vendor_fuel_2,59.3,86.21,5112.74,2025-01-01T18:13:00
fuel_5,vehicle_57,trip_2,vendor_fuel_30,61.65,92.69,5714.15,2025-01-01T16:13:00
fuel_6,vehicle_57,trip_3,vendor_fuel_4,22.64,85.92,1944.96,2025-01-02T04:30:00
fuel_7,vehicle_57,trip_3,vendor_fuel_15,23.08,90.83,2096.48,2025-01-02T02:30:00
fuel_8,vehicle_66,trip_4,vendor_fuel_36,131.2,94.78,12434.71,2025-01-01T17:25:00
fuel_9,vehicle_66,trip_4,vendor_fuel_48,129.4,93.88,12147.39,2025-01-02T14:25:00
fuel_10,vehicle_66,trip_4,vendor_fuel_47,137.23,87.89,12060.32,2025-01-02T15:25:00
fuel_11,vehicle_23,trip_5,vendor_fuel_38,114.07,93.26,10638.51,2025-01-02T08:36:00
fuel_12,vehicle_23,trip_5,vendor_fuel_15,119.47,92.4,11039.07,2025-01-01T23:36:00
fuel_13,vehicle_23,trip_5,vendor_fuel_20,123.02,86.54,10646.54,2025-01-02T14:36:00
fuel_14,vehicle_9,trip_6,vendor_fuel_17,73.13,90.75,6637.19,2025-01-02T00:30:00
fuel_15,vehicle_9,trip_6,vendor_fuel_30,73.64,86.46,6367.01,2025-01-01T23:30:00
fuel_16,vehicle_9,trip_6,vendor_fuel_24,72.0,85.53,6158.23,2025-01-02T08:30:00
fuel_17,vehicle_41,trip_7,vendor_fuel_22,60.16,89.85,5405.0,2025-01-02T00:44:00
fuel_18,vehicle_41,trip_7,vendor_fuel_15,58.51,86.55,5063.59,2025-01-02T01:44:00
fuel_19,vehicle_41,trip_7,vendor_fuel_45,62.73,90.59,5682.34,2025-01-02T06:44:00
fuel_20,vehicle_18,trip_8,vendor_fuel_14,158.57,88.07,13966.29,2025-01-01T21:48:00
fuel_21,vehicle_18,trip_8,vendor_fuel_49,163.14,89.25,14559.52,2025-01-01T20:48:00
fuel_22,vehicle_27,trip_10,vendor_fuel_40,68.01,92.81,6311.86,2025-01-01T09:42:00
fuel_23,vehicle_27,trip_10,vendor_fuel_38,65.71,85.68,5630.23,2025-01-01T06:42:00
fuel_24,vehicle_24,trip_11,vendor_fuel_30,134.9,88.14,11890.76,2025-01-01T07:11:00
fuel_25,vehicle_24,trip_11,vendor_fuel_24,131.73,89.96,11849.83,2025-01-02T02:11:00
fuel_26,vehicle_57,trip_12,vendor_fuel_44,80.96,91.74,7427.13,2025-01-01T17:18:00
fuel_27,vehicle_57,trip_12,vendor_fuel_44,84.22,90.23,7599.02,2025-01-01T16:18:00
fuel_28,vehicle_52,trip_13,vendor_fuel_26,41.29,91.67,3784.75,2025-01-01T21:46:00
fuel_29,vehicle_52,trip_13,vendor_fuel_30,41.94,86.47,3626.6,2025-01-01T15:46:00
fuel_30,vehicle_52,trip_13,vendor_fuel_15,40.31,89.89,3623.44,2025-01-02T00:46:00
fuel_31,vehicle_20,trip_14,vendor_fuel_33,105.46,89.98,9489.48,2025-01-03T04:06:00
fuel_32,vehicle_20,trip_14,vendor_fuel_35,108.14,93.09,10067.58,2025-01-03T13:06:00
fuel_33,vehicle_22,trip_15,vendor_fuel_33,122.45,93.54,11454.81,2025-01-02T06:19:00
fuel_34,vehicle_22,trip_15,vendor_fuel_25,121.42,89.95,10921.06,2025-01-02T16:19:00
fuel_35,vehicle_22,trip_15,vendor_fuel_4,126.02,87.84,11070.23,2025-01-02T05:19:00
