id,trip_id,driver_id,type,amount,date
exp_1,trip_1,driver_43,Food Allowance,1366,2025-01-02T00:21:00
exp_2,trip_1,driver_43,Fines,684,2025-01-02T00:21:00
exp_3,trip_1,driver_43,Food Allowance,1464,2025-01-01T23:21:00
exp_4,trip_1,driver_43,Food Allowance,587,2025-01-01T22:21:00
exp_5,trip_2,driver_34,FASTag Toll,1218,2025-01-01T16:13:00
exp_6,trip_2,driver_34,Parking,1070,2025-01-01T15:13:00
exp_7,trip_2,driver_34,Fines,1465,2025-01-01T10:13:00
exp_8,trip_3,driver_44,FASTag Toll,271,2025-01-02T04:30:00
exp_9,trip_3,driver_44,Miscellaneous,1486,2025-01-02T00:30:00
exp_10,trip_3,driver_44,Fines,907,2025-01-02T01:30:00
exp_11,trip_4,driver_8,Food Allowance,1302,2025-01-01T17:25:00
exp_12,trip_4,driver_8,Food Allowance,525,2025-01-02T07:25:00
exp_13,trip_4,driver_8,Miscellaneous,1175,2025-01-02T09:25:00
exp_14,trip_4,driver_8,FASTag Toll,1309,2025-01-02T12:25:00
exp_15,trip_5,driver_72,Parking,954,2025-01-02T04:36:00
exp_16,trip_5,driver_72,Miscellaneous,1420,2025-01-02T06:36:00
exp_17,trip_5,driver_72,FASTag Toll,344,2025-01-02T07:36:00
exp_18,trip_6,driver_77,FASTag Toll,693,2025-01-02T04:30:00
exp_19,trip_6,driver_77,Fines,1408,2025-01-01T21:30:00
exp_20,trip_6,driver_77,Fines,496,2025-01-02T00:30:00
exp_21,trip_6,driver_77,FASTag Toll,1326,2025-01-02T00:30:00
exp_22,trip_7,driver_39,Miscellaneous,1043,2025-01-01T23:44:00
exp_23,trip_7,driver_39,FASTag Toll,368,2025-01-01T22:44:00
exp_24,trip_7,driver_39,Miscellaneous,813,2025-01-02T02:44:00
exp_25,trip_8,driver_57,FASTag Toll,1091,2025-01-02T06:48:00
exp_26,trip_8,driver_57,FASTag Toll,502,2025-01-01T20:48:00
exp_27,trip_8,driver_57,FASTag Toll,1451,2025-01-02T09:48:00
exp_28,trip_10,driver_76,Food Allowance,677,2025-01-01T08:42:00
exp_29,trip_10,driver_76,Fines,108,2025-01-01T07:42:00
exp_30,trip_10,driver_76,Food Allowance,1132,2025-01-01T13:42:00
exp_31,trip_11,driver_57,Fines,183,2025-01-01T06:11:00
exp_32,trip_11,driver_57,Parking,1111,2025-01-01T07:11:00
exp_33,trip_11,driver_57,Miscellaneous,680,2025-01-01T18:11:00
exp_34,trip_11,driver_57,Fines,738,2025-01-02T01:11:00
exp_35,trip_12,driver_29,Food Allowance,908,2025-01-02T02:18:00
exp_36,trip_12,driver_29,Fines,308,2025-01-01T19:18:00
exp_37,trip_12,driver_29,FASTag Toll,844,2025-01-01T20:18:00
exp_38,trip_13,driver_16,FASTag Toll,303,2025-01-01T14:46:00
exp_39,trip_13,driver_16,FASTag Toll,1120,2025-01-02T00:46:00
exp_40,trip_13,driver_16,FASTag Toll,466,2025-01-01T20:46:00
