id,action,resource,timestamp
audit_1,Trip Created,trip_1,2025-01-01T18:21:00
audit_2,Trip Created,trip_2,2025-01-01T05:13:00
audit_3,Trip Created,trip_3,2025-01-01T23:30:00
audit_4,Trip Created,trip_4,2025-01-01T11:25:00
audit_5,Trip Created,trip_5,2025-01-01T22:36:00
audit_6,Trip Created,trip_6,2025-01-01T18:30:00
audit_7,Trip Created,trip_7,2025-01-01T21:44:00
audit_8,Trip Created,trip_8,2025-01-01T16:48:00
audit_9,Trip Created,trip_9,2025-01-01T01:04:00
audit_10,Trip Created,trip_10,2025-01-01T05:42:00
audit_11,Trip Created,trip_11,2025-01-01T03:11:00
audit_12,Trip Created,trip_12,2025-01-01T13:18:00
audit_13,Trip Created,trip_13,2025-01-01T13:46:00
audit_14,Trip Created,trip_14,2025-01-02T19:06:00
audit_15,Trip Created,trip_15,2025-01-02T04:19:00
audit_16,Trip Created,trip_16,2025-01-02T01:42:00
audit_17,Trip Created,trip_17,2025-01-02T19:19:00
audit_18,Trip Created,trip_18,2025-01-02T14:42:00
audit_19,Trip Created,trip_19,2025-01-02T08:52:00
audit_20,Trip Created,trip_20,2025-01-02T02:20:00
audit_21,Trip Created,trip_21,2025-01-02T08:55:00
audit_22,Trip Created,trip_22,2025-01-02T08:19:00
audit_23,Trip Created,trip_23,2025-01-02T20:11:00
audit_24,Trip Created,trip_24,2025-01-02T18:14:00
audit_25,Trip Created,trip_25,2025-01-02T22:13:00
audit_26,Trip Created,trip_26,2025-01-02T08:04:00
audit_27,Trip Created,trip_27,2025-01-02T10:02:00
audit_28,Trip Created,trip_28,2025-01-03T14:22:00
audit_29,Trip Created,trip_29,2025-01-03T21:43:00
audit_30,Trip Created,trip_30,2025-01-03T08:11:00
audit_31,Trip Created,trip_31,2025-01-03T13:05:00
audit_32,Trip Created,trip_32,2025-01-03T03:29:00
audit_33,Trip Created,trip_33,2025-01-03T00:00:00
audit_34,Trip Created,trip_34,2025-01-03T09:39:00
audit_35,Trip Created,trip_35,2025-01-03T23:44:00
audit_36,Trip Created,trip_36,2025-01-03T08:57:00
audit_37,Trip Created,trip_37,2025-01-03T05:12:00
audit_38,Trip Created,trip_38,2025-01-03T17:17:00
audit_39,Trip Created,trip_39,2025-01-03T04:41:00
audit_40,Trip Created,trip_40,2025-01-03T14:09:00
audit_41,Trip Created,trip_41,2025-01-03T12:49:00
audit_42,Trip Created,trip_42,2025-01-03T03:03:00
audit_43,Trip Created,trip_43,2025-01-04T22:27:00
audit_44,Trip Created,trip_44,2025-01-04T23:10:00
audit_45,Trip Created,trip_45,2025-01-04T18:19:00
audit_46,Trip Created,trip_46,2025-01-04T18:40:00
audit_47,Trip Created,trip_47,2025-01-04T15:55:00
audit_48,Trip Created,trip_48,2025-01-04T07:48:00
audit_49,Trip Created,trip_49,2025-01-04T05:50:00
audit_50,Trip Created,trip_50,2025-01-04T23:35:00
audit_51,Trip Created,trip_51,2025-01-04T02:50:00
audit_52,Trip Created,trip_52,2025-01-04T11:02:00
audit_53,Trip Created,trip_53,2025-01-04T20:43:00
audit_54,Trip Created,trip_54,2025-01-04T13:51:00
audit_55,Trip Created,trip_55,2025-01-04T13:04:00
audit_56,Trip Created,trip_56,2025-01-04T04:51:00
audit_57,Trip Created,trip_57,2025-01-05T21:30:00
audit_58,Trip Created,trip_58,2025-01-05T06:40:00
audit_59,Trip Created,trip_59,2025-01-05T05:33:00
audit_60,Trip Created,trip_60,2025-01-05T18:56:00
audit_61,Trip Created,trip_61,2025-01-05T05:59:00
audit_62,Trip Created,trip_62,2025-01-05T02:50:00
audit_63,Trip Created,trip_63,2025-01-05T16:48:00
audit_64,Trip Created,trip_64,2025-01-05T18:01:00
audit_65,Trip Created,trip_65,2025-01-05T06:14:00
audit_66,Trip Created,trip_66,2025-01-05T16:45:00
audit_67,Trip Created,trip_67,2025-01-05T07:56:00
audit_68,Trip Created,trip_68,2025-01-05T23:25:00
audit_69,Trip Created,trip_69,2025-01-05T14:22:00
audit_70,Trip Created,trip_70,2025-01-06T05:46:00
