id,vehicle_id,driver_id,client_id,origin,destination,distance_km,dispatch_time,eta,actual_arrival,status,revenue
trip_1,vehicle_67,driver_43,client_68,Kolkata,Bengaluru,943,2025-01-01T18:21:00,2025-01-02T12:06:13.895810,2025-01-02T12:07:13.895810,completed,54694
trip_2,vehicle_57,driver_34,client_19,Indore,Bengaluru,857,2025-01-01T05:13:00,2025-01-01T21:56:19.324097,2025-01-02T04:56:19.324097,delayed,43707
trip_3,vehicle_57,driver_44,client_40,Mumbai,Bhopal,330,2025-01-01T23:30:00,2025-01-02T05:11:21.526416,2025-01-02T05:16:21.526416,completed,14190
trip_4,vehicle_66,driver_8,client_48,Mumbai,Surat,1465,2025-01-01T11:25:00,2025-01-02T21:31:08.453008,2025-01-02T21:24:08.453008,completed,76180
trip_5,vehicle_23,driver_72,client_49,Surat,Kolkata,1046,2025-01-01T22:36:00,2025-01-02T17:34:55.151890,2025-01-02T17:15:55.151890,completed,69036
trip_6,vehicle_9,driver_77,client_61,Bhubaneswar,Nagpur,840,2025-01-01T18:30:00,2025-01-02T10:52:14.166487,2025-01-02T11:02:14.166487,completed,51240
trip_7,vehicle_41,driver_39,client_19,Mumbai,Delhi,655,2025-01-01T21:44:00,2025-01-02T09:54:55.951520,2025-01-02T20:54:55.951520,delayed,33405
trip_8,vehicle_18,driver_57,client_16,Jaipur,Delhi,1323,2025-01-01T16:48:00,2025-01-02T15:04:18.809328,2025-01-02T14:53:18.809328,completed,52920
trip_9,vehicle_61,driver_16,client_13,Jammu,Nagpur,0,2025-01-01T01:04:00,2025-01-01T14:29:30.633557,,cancelled,0
trip_10,vehicle_27,driver_76,client_75,Indore,Indore,509,2025-01-01T05:42:00,2025-01-01T16:31:21.806631,2025-01-01T22:31:21.806631,delayed,35630
trip_11,vehicle_24,driver_57,client_66,Jaipur,Hyderabad,1479,2025-01-01T03:11:00,2025-01-02T05:16:13.303416,2025-01-02T05:13:13.303416,completed,68034
trip_12,vehicle_57,driver_29,client_61,Ranchi,Indore,1234,2025-01-01T13:18:00,2025-01-02T09:58:12.999421,2025-01-02T10:22:12.999421,completed,51828
trip_13,vehicle_52,driver_16,client_76,Ahmedabad,Ludhiana,576,2025-01-01T13:46:00,2025-01-02T01:17:26.767428,2025-01-02T01:36:26.767428,completed,33408
trip_14,vehicle_20,driver_39,client_64,Jammu,Bengaluru,1373,2025-01-02T19:06:00,2025-01-03T19:58:17.916406,2025-01-03T20:01:17.916406,completed,87872
trip_15,vehicle_22,driver_63,client_63,Ranchi,Kolkata,982,2025-01-02T04:19:00,2025-01-02T22:23:47.635100,2025-01-02T22:00:47.635100,completed,56956
trip_16,vehicle_46,driver_53,client_11,Bhubaneswar,Nashik,819,2025-01-02T01:42:00,2025-01-02T19:56:48.486986,2025-01-02T19:45:48.486986,completed,47502
trip_17,vehicle_65,driver_44,client_10,Kolkata,Gurugram,441,2025-01-02T19:19:00,2025-01-03T04:38:48.138513,2025-01-03T04:39:48.138513,completed,26460
trip_18,vehicle_33,driver_80,client_67,Noida,Lucknow,1155,2025-01-02T14:42:00,2025-01-03T11:35:52.258839,2025-01-03T11:06:52.258839,completed,69300
trip_19,vehicle_9,driver_27,client_31,Bhopal,Jaipur,944,2025-01-02T08:52:00,2025-01-03T05:30:16.758455,2025-01-03T05:43:16.758455,completed,55696
