product_id,abc_class,service_level,lead_time,total_revenue,total_quantity,avg_daily_demand,annual_demand,demand_std_dev,unit_cost,z_score,safety_stock,reorder_point,eoq,holding_cost_per_unit,simulated_current_stock,days_to_stockout,reorder_urgency,stockout_probability,risk_category
22423,A,0.99,7,162885.71,13074,18.7039,6826.91,44.5282,12.4588,2.33,274.5,405.43,523.43,2.4918,636.73,34.04,0.0,0.0,Low
85123A,A,0.99,7,155540.37,57326,82.0114,29934.18,148.601,2.7133,2.33,916.07,1490.15,2348.67,0.5427,1391.6,16.97,0.0661,0.0188,High
DOT,A,0.99,7,116401.99,728,1.0415,380.14,2.8228,159.8928,2.33,17.4,24.69,34.48,31.9786,42.75,41.05,0.0,0.0,Low
85099B,A,0.99,7,88784.03,49702,71.1044,25953.12,140.9249,1.7863,2.33,868.75,1366.48,2695.25,0.3573,1947.23,27.39,0.0,0.0001,Medium
84879,A,0.99,7,72251.32,44797,64.0873,23391.85,178.1191,1.6129,2.33,1098.03,1546.64,2692.89,0.3226,431.42,6.73,0.7211,0.5146,Critical
22086,A,0.99,7,57808.25,17062,24.4092,8909.34,99.6185,3.3881,2.33,614.11,784.97,1146.64,0.6776,1533.59,62.83,0.0,0.0,Low
47566,A,0.99,7,49626.92,10071,14.4077,5258.82,37.749,4.9277,2.33,232.71,333.56,730.48,0.9855,515.74,35.8,0.0,0.0,Low
84347,A,0.99,7,47641.89,13663,19.5465,7134.47,517.7835,3.4869,2.33,3191.93,3328.75,1011.45,0.6974,5304.44,271.38,0.0,0.0001,Low
POST,A,0.99,7,46092.36,2154,3.0815,1124.76,6.4582,21.3985,2.33,39.81,61.38,162.12,4.2797,21.08,6.84,0.6566,0.5115,Critical
21843,A,0.99,7,42073.15,3973,5.6838,2074.6,16.5585,10.5898,2.33,102.08,141.86,312.97,2.118,135.58,23.85,0.0443,0.0144,High
48138,A,0.99,7,41833.69,6367,9.1087,3324.69,24.642,6.5704,2.33,151.91,215.67,503.0,1.3141,173.51,19.05,0.1955,0.0462,High
20685,A,0.99,7,39583.52,5854,8.3748,3056.81,19.6577,6.7618,2.33,121.18,179.81,475.43,1.3524,334.59,39.95,0.0,0.0,Low
85099F,A,0.99,7,35823.39,19802,28.329,10340.1,79.2044,1.8091,2.33,488.26,686.57,1690.51,0.3618,908.56,32.07,0.0,0.0004,Medium
15056N,A,0.99,7,35748.0,7318,10.4692,3821.27,45.5491,4.8849,2.33,280.79,354.08,625.4,0.977,588.92,56.25,0.0,0.0,Low
21621,A,0.99,7,35717.71,4108,5.877,2145.09,19.8897,8.6947,2.33,122.61,163.75,351.22,1.7389,154.33,26.26,0.0575,0.0157,High
20725,A,0.99,7,35609.94,20963,29.99,10946.34,55.0341,1.6987,2.33,339.26,549.19,1794.98,0.3397,292.04,9.74,0.4682,0.2864,Critical
22386,A,0.99,7,34597.97,18335,26.2303,9574.07,59.9906,1.887,2.33,369.82,553.43,1592.75,0.3774,638.5,24.34,0.0,0.0021,Medium
20914,A,0.99,7,34183.41,12289,17.5808,6417.0,47.5802,2.7816,2.33,293.31,416.38,1073.99,0.5563,92.12,5.24,0.7787,0.5971,Critical
21232,A,0.99,7,33750.95,26495,37.9041,13835.01,72.6371,1.2739,2.33,447.78,713.11,2330.31,0.2548,1192.67,31.47,0.0,0.0,Low
85099C,A,0.99,7,31995.82,17221,24.6366,8992.37,57.5288,1.858,2.33,354.64,527.1,1555.62,0.3716,685.31,27.82,0.0,0.0004,Medium
15056BL,A,0.99,7,31580.5,6673,9.5465,3484.47,48.5374,4.7326,2.33,299.21,366.04,606.74,0.9465,563.83,59.06,0.0,0.0001,Low
21931,A,0.99,7,31385.41,15782,22.578,8240.96,48.2228,1.9887,2.33,297.27,455.32,1439.43,0.3977,352.24,15.6,0.2264,0.064,High
21212,A,0.99,7,31352.07,59346,84.9013,30988.97,158.321,0.5283,2.33,975.99,1570.3,5415.66,0.1057,3053.17,35.96,0.0,0.0,Low
22189,A,0.99,7,30974.43,10031,14.3505,5237.93,92.15,3.0879,2.33,568.07,668.52,920.95,0.6176,1201.29,83.71,0.0,0.0,Low
79321,A,0.99,7,30775.15,6396,9.1502,3339.83,30.5483,4.8116,2.33,188.32,252.37,589.12,0.9623,398.47,43.55,0.0,0.0,Low
21754,A,0.99,7,30738.22,5018,7.1788,2620.27,11.2686,6.1256,2.33,69.47,119.72,462.47,1.2251,56.25,7.83,0.5302,0.4203,Critical
