product_id,abc_class,risk_category,simulated_current_stock,safety_stock,reorder_point,avg_daily_demand,demand_std_dev,lead_time,stockout_probability,days_to_stockout
20854,C,Critical,1.3,5.67,9.99,0.309,1.1832,14,0.7529,4.2
20749,A,Critical,5.46,29.42,43.2,1.9685,4.7718,7,0.745,2.78
37447,A,Critical,7.24,49.69,70.23,2.9342,8.0609,7,0.7335,2.47
22027,A,Critical,30.12,151.55,221.24,9.9557,24.5834,7,0.7285,3.03
84970S,A,Critical,91.51,333.04,511.06,25.432,54.0246,7,0.7275,3.6
22024,B,Critical,18.62,68.33,111.59,4.3262,13.0958,10,0.7241,4.3
21518,C,Critical,6.02,21.61,37.65,1.1459,4.5112,14,0.7236,5.26
20983,A,Critical,14.71,89.36,125.06,5.1001,14.4958,7,0.708,2.88
85049D,B,Critical,11.25,45.48,71.59,2.6109,8.7163,10,0.7051,4.31
90200C,C,Critical,1.14,4.89,8.03,0.2246,1.0211,14,0.7004,5.06
22696,B,Critical,3.59,22.36,33.04,1.0687,4.2844,10,0.6997,3.36
22411,A,Critical,82.99,302.66,452.96,21.4707,49.0972,7,0.6978,3.87
21670,A,Critical,20.05,116.55,162.48,6.5622,18.9056,7,0.6976,3.05
21817,C,Critical,5.99,27.62,44.72,1.2217,5.7665,14,0.6968,4.9
82581,B,Critical,31.93,107.02,171.82,6.4807,20.5101,10,0.6939,4.93
22032,C,Critical,4.03,18.04,29.12,0.7911,3.7675,14,0.6913,5.1
84791,B,Critical,1.86,9.6,14.3,0.4692,1.8404,10,0.6868,3.96
20950,C,Critical,5.39,22.32,36.08,0.9828,4.6594,14,0.6844,5.48
90013B,C,Critical,0.6,2.3,3.74,0.103,0.4796,14,0.6801,5.85
22295,A,Critical,29.06,140.22,197.4,8.1688,22.7461,7,0.6798,3.56
22521,B,Critical,11.97,45.05,69.09,2.4034,8.6343,10,0.6707,4.98
79030G,C,Critical,3.36,10.89,17.92,0.5021,2.2744,14,0.667,6.69
20977,A,Critical,12.86,44.51,65.61,3.0143,7.2204,7,0.6669,4.27
84843,B,Critical,0.69,3.36,4.92,0.1559,0.6446,10,0.6651,4.43
21811,B,Critical,10.0,49.86,72.69,2.2833,9.5553,10,0.6645,4.38
22792,C,Critical,5.85,31.37,47.61,1.1602,6.5496,14,0.6642,5.04
90161B,C,Critical,0.54,2.86,4.34,0.1059,0.5963,14,0.6642,5.06
21723,C,Critical,4.88,15.74,25.72,0.7124,3.2874,14,0.6606,6.85
20855,C,Critical,0.9,6.02,8.85,0.2017,1.258,14,0.6585,4.47
85185B,B,Critical,2.33,8.92,13.44,0.4521,1.7101,10,0.6572,5.16
85172,B,Critical,15.9,113.65,157.44,4.3791,21.7814,10,0.6572,3.63
22381,A,Critical,31.91,166.13,226.22,8.5837,26.9494,7,0.6536,3.72
22487,A,Critical,5.24,17.36,25.53,1.1674,2.8156,7,0.6531,4.49
90120C,C,Critical,0.52,2.21,3.41,0.0858,0.4618,14,0.6524,6.11
84828,B,Critical,11.31,37.09,57.19,2.01,7.1081,10,0.6522,5.62
21524,A,Critical,16.93,112.69,148.5,5.1159,18.2801,7,0.6519,3.31
22266,C,Critical,4.82,26.93,39.9,0.927,5.622,14,0.6509,5.2
79067,A,Critical,8.32,38.89,53.62,2.1044,6.3091,7,0.6496,3.95
22771,B,Critical,6.39,41.8,57.92,1.6123,8.0114,10,0.6495,3.97
22044,C,Critical,9.29,47.26,70.71,1.6753,9.8677,14,0.6494,5.54
47594A,C,Critical,2.32,7.24,11.7,0.319,1.5111,14,0.6478,7.28
85212,C,Critical,3.52,14.46,22.15,0.5494,3.0198,14,0.644,6.41
21632,C,Critical,0.4,1.82,2.71,0.0629,0.3808,14,0.6322,6.36
16161M,C,Critical,12.03,32.24,52.77,1.4664,6.7308,14,0.6321,8.2
21144,C,Critical,5.22,21.28,32.09,0.7725,4.4424,14,0.6319,6.75
82583,A,Critical,36.8,141.36,198.59,8.176,22.9303,7,0.6318,4.5
21826,B,Critical,13.22,51.38,74.88,2.3505,9.8463,10,0.6295,5.62
